English,Armenian
Crime classes,Հանցագործության կարգեր
Crime fiction,Գեղարվեստական գրականություն հանցագործությունների մասին
"Crime, detective and thriller fiction","Գեղարվեստական գրականություն հանցագործությունների մասին, դետեկտիվ և թրիլլեր"
Crimes against humanity,Մարդկության դեմ հանցագործություններ
Crimes against international law,Միջազգային իրավունքի դեմ ուղղված հանցագործություններ
Crimes against justice,Արդարադատության դեմ ուղղված հանցագործություններ
Crimes against property,Սեփականության դեմ ուղղված հանցագործություններ
Crimes against public order,Հասարակական կարգի դեմ ուղղված հանցագործություններ
Crimes against the person,Անձի դեմ ուղղված հանցագործություններ
Crimes against the state,Պետության դեմ ուղղված հանցագործություններ
Criminal law,Քրեական իրավունք
Criminal procedure,Քրեական դատավարության օրենք
Criminology,Քրեաբանություն
Critics,Քննադատներ
Croatia,Խորվաթիա
Croquet,Կրոկետ
Crustaceans,Խեցգետնանմաններ
Cryptids,Կրիպտիդներ
Crystallography,Բյուրեղագիտություն
Cuba,Կուբա
Cuculiformes,Կկուներ
Cucurbitales,Դդմածաղկավորներ
Cue sports,Բիլիարդ
Cuisine,Խոհանոց
Culinary fruits,Խոհարարության մեջ օգտագործվող մրգեր
Cultural venues,Մշակութային վայրեր
Culture by region,Մշակույթ ըստ շրջանների
Curling,Կյոռլինգ
Current,Հոսանք
Cycling,Հեծանվավազք
Cycling (20/20 quota),Հեծանվավազք
Cypriniformes,Ծածանակերպեր
Cyprinodontiformes,Ծածանատամնավորակերպեր
Cyprus,Կիպրոս
Cyprus and Northern Cyprus,Կիպրոս և Հյուսիսային Կիպրոս
Czech Republic,Չեխիայի Հանրապետություն
Czechoslovak,Չեխոսլովակիա
Dairy and analogues,Կաթնամթերք
Dalai Lamas,Դալայ Լամա
Dams,Ամբարտակներ
Dance,Պար
Dancers and choreographers,Պարողներ և խորեոգրաֆներ
Dances of the east,Արևելքի պարեր
Danish,Դանիական
Darts,Դարթս
Data storage and memory,Տվյալների պահպանում և հիշողություն
Daytime soaps,Հեռուստասերիալներ
Death,Մահ
Deer,Եղջերու
Deities,Աստվածություններ
Deity,Աստվածություններ
Democratic Republic of the Congo,Կոնգոյի Դեմոկրատական Հանրապետություն
Denmark,Դանիա
Denominations,Դավանանք
Deserts and dunes,Անապատներ և դյուներ
Design,Դիզայն
Designers,Դիզայներ
Development,Զարգացում
Devices,Սարքավորումներ
Diagnostic technologies,Ախտորոշիչ տեխնոլոգիաներ
Differential calculus,Դիֆերենցիալ հաշիվ
Differential equations,Դիֆերենցիալ հավասարումներ
Digital art,Թվային արվեստ
Dinosaurs,Դինոզավրեր
Dipsacales,Ակքանածաղկավորներ
"Directors, producers, showrunners and screenwriters","Ռեժիսորներ, պրոդյուսերներ, հաղորդավարներ և սցենարիստներ"
Disabilities,Հաշմանդամություն
Disciplines,Կանոնակարգեր
Discrimination,Խտրականություն
Disease,Հիվանդություն
Dispute resolution,Կոնֆլիկտների լուծում
Diving,Դայվինգ
Documentary,Վավերագրական ֆիլմեր
Documents,Փաստաթղթեր
Dominica,Դոմինիկա
Dominican Republic,Դոմինիկյան Հանրապետություն
Donkeys,Էշեր
Double bassists,Կոնտրաբասիստ
Drama,Դրամա
Drama film,Դրամա
Dravidian languages,Դրավիդյան լեզուներ
Drinks,Խմիչքներ
Drugs,Դեղեր
Drugs and medication,Դեղեր և դեղամիջոցներ
Dutch,Հոլանդերեն
Dynamical systems,Դինամիկ համակարգեր
Early digital computers,Վաղ շրջանի թվային համակարգիչներ
Early modern art,Վաղ ժամանակակից արվեստ
Early modern history,Վաղ ժամանակակից պատմություն
Early modern history,Վաղ ժամանակակից պատմություն
Early modern period [about 1400-1814],Վաղ ժամանակակից շրջան [մոտ 1400-1814]
Earth,Երկիր
Earth science basics,Երկրագիտության հիմունքներ
East Asia,Արևելյան Ասիա
East China,Արևելյան Չինաստան
East Germany,Արևելյան Գերմանիա
East Timor,Արևելյան Թիմոր
Eastern Africa,Արևելյան Աֆրիկա
Eastern and Central Europe,Կենտրոնական և Արևելյան Եվրոպա
Eastern and Southeastern Asia,Արևելյան և Հարավարևելյան Ասիա
Eastern Asia,Արևելյան Ասիա
Eastern Europe,Արևելյան Եվրոպա
Eastern Europe,Արևելյան Եվրոպա
Eastern Europe and Central,Կենտրոնական և Արևելյան Եվրոպա
Eastern India,Արևելյան Հնդկաստան
Eastern religions,Արևելյան կրոններ
Ecdysozoa,
Echinoderms,Փշամորթներ
Ecology,Էկոլոգիա
Economies,Տնտեսություններ
Edible fruits,Ուտելի մրգեր
Edible fungi,Ուտելի սնկեր
"Edible seeds, grains, nuts (pulses)","Ուտելի սերմեր, հացահատիկներ, ընկուզեղեն"
Educational institutions,Կրթական հաստատություններ
Educators,Մանկավարժներ
Egypt,Եգիպտոս
Egyptian mythology,Եգիպտական առասպելաբանություն
El Salvador,Էլ Սալվադոր
Electric potential,Էլեկտրական ներուժ
